movieId,title,genres
1,Toy Story (1995),Adventure Animation Children Comedy Fantasy
2,Jumanji (1995),Adventure Children Fantasy
3,Grumpier Old Men (1995),Comedy Romance
4,Waiting to Exhale (1995),Comedy Drama Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action Crime Thriller
7,Sabrina (1995),Comedy Romance
8,Tom and Huck (1995),Adventure Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action Adventure Thriller
11,Avatar (2009),Action Adventure Sci-Fi
12,Titanic (1997),Drama Romance
13,The Dark Knight (2008),Action Crime Drama
14,Inception (2010),Action Sci-Fi Thriller
15,Interstellar (2014),Adventure Drama Sci-Fi
16,Iron Man (2008),Action Sci-Fi
17,The Avengers (2012),Action Adventure Sci-Fi
18,Avengers Endgame (2019),Action Adventure Sci-Fi
19,Doctor Strange (2016),Action Adventure Fantasy
20,Spider-Man No Way Home (2021),Action Adventure Sci-Fi
21,The Notebook (2004),Drama Romance
22,La La Land (2016),Comedy Drama Romance
23,Frozen (2013),Animation Adventure Comedy
24,Finding Nemo (2003),Animation Adventure Comedy
25,The Lion King (1994),Animation Adventure Drama
26,Shrek (2001),Animation Adventure Comedy
27,Kung Fu Panda (2008),Animation Action Comedy
28,John Wick (2014),Action Crime Thriller
29,Mad Max Fury Road (2015),Action Adventure Thriller
30,Top Gun Maverick (2022),Action Drama
